,instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,Casual,Registered,All,seasons,day,weather,month,year
0,1,2011-01-01,1,0,1,0,6,Not Working Day,2,14.1,18.2,80.6,16.0,331,654,985,Springer,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",January,2011
1,2,2011-01-02,1,0,1,0,0,Not Working Day,2,14.9,17.7,69.6,24.9,131,670,801,Springer,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",January,2011
2,3,2011-01-03,1,0,1,0,1,Working Day,1,8.1,9.5,43.7,24.8,120,1229,1349,Springer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",January,2011
3,4,2011-01-04,1,0,1,0,2,Working Day,1,8.2,10.6,59.0,16.0,108,1454,1562,Springer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",January,2011
4,5,2011-01-05,1,0,1,0,3,Working Day,1,9.3,11.5,43.7,18.7,82,1518,1600,Springer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",January,2011
5,6,2011-01-06,1,0,1,0,4,Working Day,1,8.4,11.7,51.8,9.0,88,1518,1606,Springer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",January,2011
6,7,2011-01-07,1,0,1,0,5,Working Day,2,8.1,10.4,49.9,16.9,148,1362,1510,Springer,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",January,2011
7,8,2011-01-08,1,0,1,0,6,Not Working Day,2,6.8,8.1,53.6,26.7,68,891,959,Springer,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",January,2011
8,9,2011-01-09,1,0,1,0,0,Not Working Day,1,5.7,5.8,43.4,36.2,54,768,822,Springer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",January,2011
9,10,2011-01-10,1,0,1,0,1,Working Day,1,6.2,7.5,48.3,22.3,41,1280,1321,Springer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",January,2011
10,11,2011-01-11,1,0,1,0,2,Working Day,2,6.9,9.6,68.6,12.2,43,1220,1263,Springer,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",January,2011
11,12,2011-01-12,1,0,1,0,3,Working Day,1,7.1,8.0,60.0,30.5,25,1137,1162,Springer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",January,2011
12,13,2011-01-13,1,0,1,0,4,Working Day,1,6.8,7.5,47.0,30.1,38,1368,1406,Springer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",January,2011
13,14,2011-01-14,1,0,1,0,5,Working Day,1,6.6,9.4,53.8,12.7,54,1367,1421,Springer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",January,2011
14,15,2011-01-15,1,0,1,0,6,Not Working Day,2,9.6,12.4,49.9,15.8,222,1026,1248,Springer,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",January,2011
15,16,2011-01-16,1,0,1,0,0,Not Working Day,1,9.5,11.7,48.4,18.8,251,953,1204,Springer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",January,2011
16,17,2011-01-17,1,0,1,1,1,Not Working Day,2,7.2,8.8,53.8,19.4,117,883,1000,Springer,Monday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",January,2011
17,18,2011-01-18,1,0,1,0,2,Working Day,2,8.9,11.6,86.2,14.7,9,674,683,Springer,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",January,2011
18,19,2011-01-19,1,0,1,0,3,Working Day,2,12.0,14.9,74.2,20.8,78,1572,1650,Springer,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",January,2011
19,20,2011-01-20,1,0,1,0,4,Working Day,2,10.7,12.8,53.8,19.6,83,1844,1927,Springer,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",January,2011
20,21,2011-01-21,1,0,1,0,5,Working Day,1,7.3,7.9,45.7,35.3,75,1468,1543,Springer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",January,2011
21,22,2011-01-22,1,0,1,0,6,Not Working Day,1,2.4,4.0,40.0,17.2,93,888,981,Springer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",January,2011
22,23,2011-01-23,1,0,1,0,0,Not Working Day,1,4.0,4.9,43.7,24.7,150,836,986,Springer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",January,2011
23,24,2011-01-24,1,0,1,0,1,Working Day,1,4.0,5.9,49.2,15.8,86,1330,1416,Springer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",January,2011
24,25,2011-01-25,1,0,1,0,2,Working Day,2,9.2,11.7,61.7,13.0,186,1799,1985,Springer,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",January,2011
25,26,2011-01-26,1,0,1,0,3,Working Day,3,8.9,10.2,86.2,29.4,34,472,506,Springer,Wednesday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",January,2011
26,27,2011-01-27,1,0,1,0,4,Working Day,1,8.0,11.0,68.8,11.4,15,416,431,Springer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",January,2011
27,28,2011-01-28,1,0,1,0,5,Working Day,2,8.3,11.2,79.3,12.3,38,1129,1167,Springer,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",January,2011
28,29,2011-01-29,1,0,1,0,6,Not Working Day,1,8.1,10.6,65.2,14.5,123,975,1098,Springer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",January,2011
29,30,2011-01-30,1,0,1,0,0,Not Working Day,1,8.9,12.5,72.2,7.4,140,956,1096,Springer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",January,2011
30,31,2011-01-31,1,0,1,0,1,Working Day,2,7.4,9.3,60.4,18.7,42,1459,1501,Springer,Monday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",January,2011
31,32,2011-02-01,1,0,2,0,2,Working Day,2,7.9,11.7,83.0,5.3,47,1313,1360,Springer,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",February,2011
32,33,2011-02-02,1,0,2,0,3,Working Day,2,10.7,12.7,77.5,26.4,72,1454,1526,Springer,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",February,2011
33,34,2011-02-03,1,0,2,0,4,Working Day,1,7.7,8.9,43.8,27.8,61,1489,1550,Springer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",February,2011
34,35,2011-02-04,1,0,2,0,5,Working Day,2,8.7,11.4,58.5,12.8,88,1620,1708,Springer,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",February,2011
35,36,2011-02-05,1,0,2,0,6,Not Working Day,2,9.6,12.2,92.9,16.1,100,905,1005,Springer,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",February,2011
36,37,2011-02-06,1,0,2,0,0,Not Working Day,1,11.7,14.6,56.8,14.2,354,1269,1623,Springer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",February,2011
37,38,2011-02-07,1,0,2,0,1,Working Day,1,11.1,15.2,73.8,4.5,120,1592,1712,Springer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",February,2011
38,39,2011-02-08,1,0,2,0,2,Working Day,1,9.1,9.9,53.8,36.2,64,1466,1530,Springer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",February,2011
39,40,2011-02-09,1,0,2,0,3,Working Day,2,5.5,7.2,49.5,18.9,53,1552,1605,Springer,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",February,2011
40,41,2011-02-10,1,0,2,0,4,Working Day,1,5.9,7.5,43.7,22.2,47,1491,1538,Springer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",February,2011
41,42,2011-02-11,1,0,2,0,5,Working Day,1,7.8,10.7,50.6,10.9,149,1597,1746,Springer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",February,2011
42,43,2011-02-12,1,0,2,0,6,Not Working Day,1,9.1,11.6,54.4,20.3,288,1184,1472,Springer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",February,2011
43,44,2011-02-13,1,0,2,0,0,Not Working Day,1,13.0,16.2,45.7,26.1,397,1192,1589,Springer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",February,2011
44,45,2011-02-14,1,0,2,0,1,Working Day,1,17.0,19.9,37.6,41.8,208,1705,1913,Springer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",February,2011
45,46,2011-02-15,1,0,2,0,2,Working Day,1,10.9,12.7,31.4,29.1,140,1675,1815,Springer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",February,2011
46,47,2011-02-16,1,0,2,0,3,Working Day,1,13.0,15.8,42.3,25.2,218,1897,2115,Springer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",February,2011
47,48,2011-02-17,1,0,2,0,4,Working Day,1,17.9,21.4,50.5,23.0,259,2216,2475,Springer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",February,2011
48,49,2011-02-18,1,0,2,0,5,Working Day,1,21.4,25.6,51.7,26.5,579,2348,2927,Springer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",February,2011
49,50,2011-02-19,1,0,2,0,6,Not Working Day,1,16.4,19.6,18.8,50.7,532,1103,1635,Springer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",February,2011
50,51,2011-02-20,1,0,2,0,0,Not Working Day,1,11.7,13.9,40.8,22.3,639,1173,1812,Springer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",February,2011
51,52,2011-02-21,1,0,2,1,1,Not Working Day,2,12.4,14.2,60.5,30.8,195,912,1107,Springer,Monday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",February,2011
52,53,2011-02-22,1,0,2,0,2,Working Day,1,7.5,9.3,57.8,19.6,74,1376,1450,Springer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",February,2011
53,54,2011-02-23,1,0,2,0,3,Working Day,1,9.1,12.3,42.3,9.4,139,1778,1917,Springer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",February,2011
54,55,2011-02-24,1,0,2,0,4,Working Day,2,12.1,14.5,69.7,25.0,100,1707,1807,Springer,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",February,2011
55,56,2011-02-25,1,0,2,0,5,Working Day,2,14.9,17.5,71.2,34.7,120,1341,1461,Springer,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",February,2011
56,57,2011-02-26,1,0,2,0,6,Not Working Day,1,11.6,14.1,53.8,18.7,424,1545,1969,Springer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",February,2011
57,58,2011-02-27,1,0,2,0,0,Not Working Day,1,14.1,17.6,68.0,12.5,694,1708,2402,Springer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",February,2011
58,59,2011-02-28,1,0,2,0,1,Working Day,2,16.7,20.0,87.6,29.0,81,1365,1446,Springer,Monday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",February,2011
59,60,2011-03-01,1,0,3,0,2,Working Day,1,10.9,13.2,53.5,21.6,137,1714,1851,Springer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",March,2011
60,61,2011-03-02,1,0,3,0,3,Working Day,1,13.7,16.0,45.0,30.8,231,1903,2134,Springer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",March,2011
61,62,2011-03-03,1,0,3,0,4,Working Day,1,8.1,10.0,31.8,22.6,123,1562,1685,Springer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",March,2011
62,63,2011-03-04,1,0,3,0,5,Working Day,2,10.7,12.8,61.0,20.3,214,1730,1944,Springer,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",March,2011
63,64,2011-03-05,1,0,3,0,6,Not Working Day,2,15.8,18.9,78.9,25.2,640,1437,2077,Springer,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",March,2011
64,65,2011-03-06,1,0,3,0,0,Not Working Day,2,15.4,18.3,94.8,34.3,114,491,605,Springer,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",March,2011
65,66,2011-03-07,1,0,3,0,1,Working Day,1,10.7,11.9,55.1,34.1,244,1628,1872,Springer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",March,2011
66,67,2011-03-08,1,0,3,0,2,Working Day,1,12.0,15.1,42.1,12.1,316,1817,2133,Springer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",March,2011
67,68,2011-03-09,1,0,3,0,3,Working Day,2,12.1,14.3,77.5,22.0,191,1700,1891,Springer,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",March,2011
68,69,2011-03-10,1,0,3,0,4,Working Day,3,16.0,19.3,0.0,26.2,46,577,623,Springer,Thursday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",March,2011
69,70,2011-03-11,1,0,3,0,5,Working Day,2,13.0,15.2,65.0,23.3,247,1730,1977,Springer,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",March,2011
70,71,2011-03-12,1,0,3,0,6,Not Working Day,1,13.5,16.3,59.5,22.1,724,1408,2132,Springer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",March,2011
71,72,2011-03-13,1,0,3,0,0,Not Working Day,1,15.8,19.0,52.7,27.1,982,1435,2417,Springer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",March,2011
